ts,btc,eth,ltc,xrp,bch,doge,xlm,xmr,etc,ada,link,trx
1313625600,10.8584714558738,,,,,,,,,,,
1313712000,11.6704730432496,,,,,,,,,,,
1313798400,11.4597317393337,,,,,,,,,,,
1313884800,11.3544813407364,,,,,,,,,,,
1313971200,10.9208958246639,,,,,,,,,,,
1314057600,10.9172450543542,,,,,,,,,,,
1314144000,10.870444289889,,,,,,,,,,,
1314230400,9.5460936735827,,,,,,,,,,,
1314316800,8.12692016306254,,,,,,,,,,,
1314403200,8.59649760666277,,,,,,,,,,,
1314489600,9.03086639976622,,,,,,,,,,,
1314576000,8.96115727060199,,,,,,,,,,,
1314662400,8.80994873816481,,,,,,,,,,,
1314748800,8.19915176446523,,,,,,,,,,,
1314835200,8.23428166510813,,,,,,,,,,,
1314921600,8.6214244377557,,,,,,,,,,,
1315008000,8.44965344067796,,,,,,,,,,,
1315094400,8.20347060227937,,,,,,,,,,,
1315180800,7.5973325251315,,,,,,,,,,,
1315267200,6.84653002893045,,,,,,,,,,,
1315353600,7.16297027352426,,,,,,,,,,,
1315440000,6.67818000029223,,,,,,,,,,,
1315526400,4.98677704178843,,,,,,,,,,,
1315612800,4.74284665517242,,,,,,,,,,,
1315699200,5.85290397253068,,,,,,,,,,,
1315785600,6.09062947223846,,,,,,,,,,,
1315872000,5.80252327703098,,,,,,,,,,,
1315958400,5.59743261016949,,,,,,,,,,,
1316044800,4.86775518468732,,,,,,,,,,,
1316131200,4.83116810052601,,,,,,,,,,,
1316217600,4.775285635301,,,,,,,,,,,
1316304000,5.23673227819988,,,,,,,,,,,
1316390400,5.52037669199299,,,,,,,,,,,
1316476800,6.14666555172414,,,,,,,,,,,
1316563200,5.59706749795441,,,,,,,,,,,
1316649600,5.47504877673875,,,,,,,,,,,
1316736000,5.56342141963764,,,,,,,,,,,
1316822400,5.45788968731736,,,,,,,,,,,
1316908800,5.34115488135593,,,,,,,,,,,
1316995200,4.87382608123904,,,,,,,,,,,
1317081600,4.91115779251899,,,,,,,,,,,
1317168000,4.76341532144945,,,,,,,,,,,
1317254400,4.77766097837522,,,,,,,,,,,
1317340800,5.14368590999416,,,,,,,,,,,
1317427200,5.03407054471069,,,,,,,,,,,
1317513600,5.00706259672706,,,,,,,,,,,
1317600000,5.02284486031561,,,,,,,,,,,
1317686400,4.95680562068966,,,,,,,,,,,
1317772800,4.88506713091759,,,,,,,,,,,
1317859200,4.73016629573349,,,,,,,,,,,
1317945600,4.27603575686733,,,,,,,,,,,
1318032000,3.98125299415546,,,,,,,,,,,
1318118400,4.11163464348334,,,,,,,,,,,
1318204800,4.07496248392753,,,,,,,,,,,
1318291200,4.00892449590883,,,,,,,,,,,
1318377600,4.16623534248977,,,,,,,,,,,
1318464000,4.03698109000584,,,,,,,,,,,
1318550400,3.98628088544711,,,,,,,,,,,
1318636800,3.83733856049094,,,,,,,,,,,
1318723200,3.60974171654003,,,,,,,,,,,
1318809600,2.58124672180012,,,,,,,,,,,
1318896000,2.42227473816482,,,,,,,,,,,
1318982400,2.21725471303331,,,,,,,,,,,
1319068800,2.35612350847458,,,,,,,,,,,
1319155200,2.57009230508475,,,,,,,,,,,
1319241600,3.15548613851549,,,,,,,,,,,
1319328000,3.14775092986558,,,,,,,,,,,
1319414400,2.52293599766219,,,,,,,,,,,
1319500800,2.80192383109293,,,,,,,,,,,
1319587200,2.7775052390415,,,,,,,,,,,
1319673600,3.04540782758621,,,,,,,,,,,
1319760000,3.17963943658679,,,,,,,,,,,
1319846400,3.56918896873174,,,,,,,,,,,
1319932800,3.25740372296902,,,,,,,,,,,
1320019200,3.26509821274109,,,,,,,,,,,
1320105600,3.17100774284044,,,,,,,,,,,
1320192000,3.2558005666277,,,,,,,,,,,
1320278400,3.16831638515488,,,,,,,,,,,
1320364800,3.12011817182934,,,,,,,,,,,
1320451200,2.97781759789597,,,,,,,,,,,
1320537600,2.96272057685564,,,,,,,,,,,
1320624000,3.01775768731736,,,,,,,,,,,
1320710400,3.05656711104617,,,,,,,,,,,
1320796800,2.9195672238457,,,,,,,,,,,
1320883200,2.85670208533022,,,,,,,,,,,
1320969600,3.06786173348919,,,,,,,,,,,
1321056000,3.02552299590883,,,,,,,,,,,
1321142400,2.98637330333139,,,,,,,,,,,
1321228800,2.22422446434833,,,,,,,,,,,
1321315200,2.3223841157218,,,,,,,,,,,
1321401600,2.54678093074226,,,,,,,,,,,
1321488000,2.27909583576856,,,,,,,,,,,
